mobid,"message",destination,"portal"
5090000,"As the Pentacle swayed in the shadows, you were brought to the Subway Ticketing Booth.",103000100,"sp"
5090001,"The scolding Master Dummy has kicked you out of the Training Center.",250000000,"sp"
6090000,"You have been relocated due to the magic of Riche.",211040200,"top00"
6090001,"You have been relocated due to the curse of the Witch.",211000000,"sp"
6090002,"The Bamboo Warrior's force of will has driven you out to the Mushroom Shrine.",800000000,"st00"
6090003,"You have been relocated by the vengeful spirit of the Scholar Ghost.",222000000,"sp"
6090004,"You will be relocated due to the prank of Rurumo.",261000000,"sp"
7090000,"You have been kicked out of the Alcadno Lab by the Automated Security System.",261000000,"in02"
8090000,"You will be relocated due to the diversionary strategy of Deet and Roi.",261000000,"sp"
8220004,"You have been ousted by the force of Dodo.",270010410,"sp"
8820006,"You have been ousted by the force of Munin.",270050200,"sp"
8820018,"You have been ousted by the force of Munin.",270050200,"sp"
9300139,"Through dark magic, you were transported elsewhere. Find your way back and help your friends!",926100400,""
9300140,"Through dark magic, you were transported elsewhere. Find your way back and help your friends!",926100400,""
9300151,"Through dark magic, you were transported elsewhere. Find your way back and help your friends!",926110400,""
9300152,"Through dark magic, you were transported elsewhere. Find your way back and help your friends!",926110400,""
9300160,"The Red Flower Serpent, who was watching Delly, has spotted you. You will be kicked out.",925010000,"sp"
9300161,"The Red Flower Serpent, who was watching Delly, has spotted you. You will be kicked out.",925010000,"sp"
9300311,"",910032000,"out00"
9500182,"Hogul has spotted you, so you are being kicked out of the Watermelon Field.",922210300,"out00"
9500183,"Hogul has spotted you, so you are being kicked out of the Watermelon Field.",922210300,"out00"
9500194,"The prank of the Mirror Ghost has returned you to your original location. ",229030100,"out00"
9500303,"The prank of the Mirror Ghost has returned you to your original location. ",229030500,"out00"
9500304,"The prank of the Mirror Ghost has returned you to your original location. ",229030800,"out00"
9500323,"The Cat has spotted you, so you are being kicked out of the Cheese Warehouse.",926120410,"st00"
9500324,"The Cat has spotted you, so you are being kicked out of the Cheese Warehouse.",926120410,"st00"
